accommodationId,accommodationName,addr1,addr2,addr3,addrNew,homepage,phoneNo,repName
2,계곡뜰펜션,경기,가평군,조종면,조종면 연인산로 45-140,www.valleypension.net,010-****-**43,송*옥
3,연인가족벨리,경기,가평군,북면,북면 백둔로467번길 5-9,www.yeoninvalley.com,010-****-**56,김*자
5,플로라의숲,경기,가평군,가평읍,,삭제말것 테스트중,,
6,별빛언덕펜션,경기,가평군,청평면,청평면 수리재길 428,www.pension011.com,010-****-**71,박*순
7,유앤아이,경기,가평군,북면,북면 백둔로467번길 65-35,younips.net,031-*****-14,윤*희
8,폴라리스,경기,가평군,북면,,www.polarispension.co.kr,,
9,그린힐펜션(폐업_노크펜션_6725),경기,가평군,북면,북면 백둔로467번길 62,greenhillpension.kr,010-****-**89,박*동
10,라온펜션,경기,가평군,북면,북면 가화로 3594,www.laonpension.co.kr,010-****-**66,김*수
11,새소리물소리,경기,가평군,북면,북면 꽃넘이길 63,www.birdwater.kr,,이*훈
12,자연속에둥지,경기,가평군,북면,북면 화악산로356번길 44-61,www.naturepension.com,010-****-**57,김*준
13,청평애덴벨리(폐업),경기,가평군,상면,상면 깃대봉길 24,www.edenvalleyps.com,031-*****-13,김*수
14,풍경(남이섬)펜션(폐업),강원,춘천시,남산면,남산면 방하로 688-18,,010-****-**79,이*종
15,가평 가족계곡독채펜션,경기,가평군,상면,상면 대보간선로 754,flowernoel.co.kr,010-****-**66,송*희
16,아모르펜션,경기,가평군,북면,,www.gpamor.com,,
17,에버그린,경기,가평군,상면,,www.gpevergreen.com,,
18,에스엔제이(업소키이관_2836),경기,가평군,상면,상면 임초밤안골로 216,www.snjpension.com,010-****-**23,박*실
19,밸리러브펜션,경기,가평군,북면,북면 이곡둑길 141,www.valleyloveps.com,010-****-**73,윤*희
20,썬힐펜션(폐업),경기,가평군,가평읍,가평읍 상천고갯길 195,www.sunhillpension.com,031-*****-55,정*순
21,로렌시아,경기,가평군,북면,북면 백둔로467번길 65-27,로렌시아펜션.com,010-****-**33,이*열
22,빨강우체통,경기,가평군,청평면,청평면 강변로 101-1,www.xn--s39at26a05f9ng90g.kr,031-*****-09,이*성
23,숲정마을펜션(업소키이관_121),경기,가평군,상면,상면 축령로 62,www.soopjl.com,031-*****-18,곽*자
24,팜카티지,경기,가평군,설악면,,www.farmcottage.co.kr,,
25,사과밭스테이,경기,가평군,가평읍,가평읍 용추로 258,www.applepension.net,010-****-**29,하*운
26,리버마운틴,경기,가평군,북면,,www.rmpension.kr,,
27,몬트샤인펜션,경기,가평군,설악면,,www.mondschein.kr,,
28,B481감성펜션,경기,가평군,북면,북면 백둔로467번길 36-46,www.b481.co.kr,010-****-**18,정*신
29,포시즌밸리,경기,가평군,북면,,www.f-season.net/,,
30,누리봄펜션,경기,가평군,북면,북면 백둔로650번길 93,www.nuribomps.com,010-****-**16,유*숙
31,세븐투펜션(폐업),경기,가평군,상면,상면 청군로 330-51,www.seventwo.kr,031-*****-57,최*순
32,우림펜션(폐업),경기,가평군,가평읍,가평읍 태봉두밀로406번길 108-43,www.woorimpension.com,031-*****-61,오*천
33,프리지아펜션(폐업),경기,가평군,북면,북면 백둔로467번길 73,www.freesia.co.kr,010-****-**89,박*동
34,형제수목원,경기,가평군,조종면,조종면 명지산로 553,www.형제수목원.com/default,031-*****-21,김*규
35,펜션커플하우스,경기,가평군,북면,,www.pensionhouse.net,,김*희
36,우리뜰펜션,경기,가평군,가평읍,가평읍 태봉두밀로 269-51,www.semiple.co.kr,031-*****-32,배*진
37,씨엘펜션(구:반딧불펜션),경기,가평군,가평읍,가평읍 태봉두밀로 269-72,cielpension.com,,이*훈
38,하늘섬펜션(업소키이관_287),경기,포천시,일동면,일동면 사기막길 213,www.skysum.net,011-*****-95,김*목
39,멀리가는향기,경기,가평군,가평읍,가평읍 태봉두밀로 440,www.aromapension.co.kr,010-****-**81,안*자
40,바하계곡펜션,경기,가평군,북면,북면 제령아랫말길 67-61,www.bahagyegok.co.kr,010-****-**88,인*민
41,초록별펜션,경기,가평군,가평읍,,www.greenstarps.co.kr,,
42,꽃가람펜션,경기,가평군,북면,북면 제령아랫말길 64,www.kkotgaram.kr,010-****-**06,하*성
43,세실리아펜션(구:소나기펜션),경기,가평군,가평읍,가평읍 태봉두밀로 269-61,세실리아.kr,010-****-**83,민*희
44,드림펜션,경기,가평군,북면,,www.psdream.com,,
45,달빛풍경,경기,가평군,북면,,www.imoonscape.net,,
46,가평펜션하우스,경기,가평군,북면,북면 가화로 1450,www.pensionhouse.net,031-*****-85,김*희
47,추억상자,경기,가평군,북면,,www.smilepension.co.kr,,
48,들꽃핀자리,경기,가평군,북면,북면 가화로 3585-36,www.xn--js0bt0i7qenprt9p.com/default/html/company_1.php,031-*****-32,진*숙
49,가평 월화수목펜션,경기,가평군,북면,북면 꽃넘이길 72,weekdaypension.co.kr,010-****-**37,이*원
50,플로라펜션,경기,가평군,북면,,www.skybottom.co.kr,,백*현
51,곰사냥을떠나자,경기,가평군,북면,,www.bearhunter.co.kr,,
52,달뜨는언덕,경기,가평군,북면,,imoonhill.com,,
53,수피아펜션,경기,가평군,북면,,www.supiapension.co.kr,,
54,테라스풍경(업소키이관_7321),경기,가평군,북면,북면 화악산로 263-67,www.terraceview.co.kr,031-*****-33,차*소
55,모닝펜션,경기,가평군,북면,북면 백둔로133번길 40,gpmorningpension.modoo.at,010-****-**10,윤******명
56,광고문의,서울,동작구,상도1동,,www.ddnayo.com/PagePss/Sub0605.aspx,,
57,산이랑물이랑,경기,가평군,가평읍,,www.sanpension.net,,
58,남이섬별펜션,경기,가평군,가평읍,,www.starpension.kr/,,
59,여우가달을사랑할때 풀빌라&글램핑,경기,가평군,가평읍,가평읍 태봉두밀로596번길 78-18,www.foxlove.kr,010-****-**40,김*훈
60,은하수흐르는계곡(폐업_세이지펜션),경기,가평군,가평읍,가평읍 태봉두밀로 237,miribyeol.com,010-****-**21,박*운
61,산골이야기(업소키이관_5017),경기,가평군,북면,북면 백둔로 290,sangolstory.net,010-****-**86,조*자
62,일상탈출 펜션,경기,가평군,북면,북면 가화로 988-27,일상탈출펜션.com,010-****-**56,김*자
63,포시즌밸리,경기,가평군,북면,,www.f-season.net/,,
64,청풍명월,경기,가평군,설악면,설악면 유명로 2429,www.cppension.net,,이*훈
65,노팅힐펜션,경기,가평군,북면,,www.nottinghillps.com/,,
66,초록빛펜션,경기,가평군,상면,,greenpension.kr,,
67,광고문의,서울,동작구,상도1동,,www.ddnayo.com/PagePss/Sub0605.aspx,,
68,루아풀빌라펜션,경기,가평군,북면,북면 제령아랫말길 67-20,xn--2s2bi8mbldxut.com/,010-****-**24,전******식
69,포시즌펜션,경기,가평군,가평읍,가평읍 호반로 1660-59,www.fspension.co.kr,031-*****-61,김*순
70,모닝VIEW(업소키이관_6751),경기,가평군,상면,상면 수목원로 418-1,www.morningview.co.kr,031-*****-58,이*구
71,자우림펜션,경기,가평군,북면,북면 가화로 2697-137,octagonps.co.kr,031-*****-44,김*녀
72,포올펜션,경기,가평군,북면,,www.4all.co.kr,,홍*진
73,고고스펜션,경기,가평군,북면,북면 싸리재길 171,site.onda.me/20248,010-****-**87,이*원
74,여울의뜰,경기,가평군,북면,,www.yeoulpension.com,,
75,폴프랑펜션,경기,가평군,북면,,www.portfranchouse.com,,
76,라비타펜션,경기,가평군,가평읍,,www.lavitapension.kr,,
77,앳더몬펜션,경기,가평군,상면,상면 원흥길 52-109,atthemorn.com,010-****-**99,유*창
78,자연의하모니,경기,가평군,북면,북면 가화로 1479,jhpension.co.kr,010-****-**53,현*식
80,꽃뜰펜션,경기,가평군,가평읍,가평읍 태봉두밀로 421-23,www.afloweryard.com,031-*****-21,이*원
81,가평파인휴펜션,경기,가평군,가평읍,가평읍 태봉두밀로 87,soilhouse.kr/index.php,031-*****-23,홍*상
82,에끄랑펜션,경기,가평군,가평읍,가평읍 북한강변로 326-109,www.ecranpension.com,010-****-**85,주*숙
83,숲속의정원 글램핑,경기,가평군,북면,북면 가화로 988-50,가평숲속의정원.com,010-****-**64,고******재
84,하늘다리(업소키이관_357),경기,가평군,북면,북면 백둔로467번길 2,www.gpskybridge.com,010-****-**02,임*정
85,테라스펜션(업소키이관_4444),경기,가평군,가평읍,가평읍 태봉두밀로 421-51,www.terracepension.co.kr,031-*****-07,홍*학
86,하늘숲펜션,경기,가평군,북면,,www.skyforest.kr,,
87,테스트펜션,충북,제천시,청풍면,청풍면 호반로7길 4,m.ddnayo.com,166-***-60,이*원
88,문바우펜션 (폐업),경기,가평군,가평읍,가평읍 태봉두밀로406번길 153-126,,031-*****-06,이*원
89,직접등록,서울,강남구,개포1동,,,,
90,포토에세이(업소키이관_2613),경기,가평군,북면,북면 백둔로467번길 58,www.gpphoto.kr,011-*****-24,박*정
91,연인커플벨리,경기,가평군,북면,북면 백둔로467번길 5-9,www.yeoninvalley.com,010-****-**57,김*자
92,솔향기펜션,강원,횡성군,강림면,,www.solhyangi.com,,
93,무주 지구별여행펜션,충북,영동군,용화면,용화면 여의로 413,www.aree09.com,,이*훈
94,해 뜨는 집,강원,고성군,죽왕면,,www.sunrh.com,,
95,마법의성 펜션,강원,횡성군,둔내면,,www.castleofmagic.net,,
96,썬플라워,,,,,sunfiowerpt.net,,
97,리버팜펜션,강원,춘천시,남산면,,www.river-farm.co.kr,,
98,죽화우펜션,강원,삼척시,원덕읍,원덕읍 사곡길 255,www.gpension.com,,이*훈
99,숲속의아침풍경,경기,가평군,가평읍,,www.wood7.kr,,배*성
100,진흥수련원,경기,가평군,하면,,www.jhcamp.co.kr,,
101,라비채펜션,경기,가평군,상면,상면 수목원로 394,laviches.com,010-****-**66,한*홍
10102,산장아카데미펜션,경기,가평군,상면,상면 청군로 235,petsmile.co.kr/?ckattempt=1,010-****-**65,천*숙
10103,해들목펜션,전북,군산시,옥도면,옥도면 무녀도2길 144-8,hdmpension.co.kr,010-****-**53,박*웅
10104,강릉게스트하우스 중앙점,강원,강릉시,임당동,경강로2103번길 17 (임당동),blog.naver.com/coffeemarina,010-****-**99,이*민
10105,라포즈펜션,전남,여수시,돌산읍,돌산읍 돌산로 3169-26,lapause-yeosu.com,010-****-**29,유*****명
10106,가고파펜션,전남,여수시,화양면,화양면 고외2길 39,gagopapension.co.kr,010-****-**89,강*옥
10107,바이드302펜션,인천,중구,을왕동,용유서로302번길 11 (을왕동),bidepension.com,010-****-**02,이*관
10108,베리굿펜션,경북,포항시 남구,장기면,장기면 동해안로 4084-5,vghouse.modoo.at,010-****-**99,이*욱
10109,편의점펜션,인천,강화군,화도면,화도면 해안남로 2850,cvspension.com,010-****-**97,노*선
10110,하늘채펜션,전남,여수시,소라면,소라면 오룡길 43-30,www.yskyps.co.kr,010-****-**43,송*남
10111,오르다온펜션,경기,양평군,서종면,서종면 송골길 233,www.ordaon.com,010-****-**90,박*현
10112,JK드라이브인호텔,제주특별자치도,서귀포시,표선면,표선면 번영로 3274,jkdriveinhotel.com,064-*****-00,강****명
10113,꿀잠호텔,전남,여수시,공화동,공화남2길 12 (공화동),ggulzam.com,010-****-**75,서*호
10114,주홍산장펜션,강원,인제군,인제읍,인제읍 필례로 231,joohongcabin.com,010-****-**27,문*희
10115,삼척 솔펜션,강원,삼척시,근덕면,근덕면 용화길 16-13,삼척솔펜션.com,010-****-**81,장*희
10116,아크로뷰호텔,제주특별자치도,서귀포시,대정읍,대정읍 하모항구로 8,,064-*****-51,김*준
10117,올레관광호텔,제주특별자치도,제주시,삼도일동,서광로 254 (삼도일동),ollehotel.co.kr,010-****-**77,김*준
10118,하나게스트하우스,제주특별자치도,제주시,이호일동,테우해안로 154-1 (이호일동),hanaguest.modoo.at,010-****-**77,박*화
10119,경포고등어펜션,강원,강릉시,안현동,해안로 633-7 (안현동),kopension.kr,010-****-**55,박*정
10120,순천만로맨스펜션,전남,순천시,대대동,순천만길 342 (대대동),www.순천만로맨스펜션.com/romance,010-****-**75,조*자
10121,대흘리에펜션,제주특별자치도,제주시,조천읍,조천읍 함선로 250,dh87.modoo.at,010-****-**84,송*금
10122,푸른섬펜션,경기,안산시 단원구,대부북동,"구봉길 201, 2,3F (대부북동)",blueislands.co.kr,010-****-**21,황*익
10123,느링느링스테이펜션,제주특별자치도,서귀포시,성산읍,성산읍 남산봉로 83-82,slowingstay.modoo.at,010-****-**01,김*석
10124,더썸플러스풀빌라,제주특별자치도,서귀포시,성산읍,성산읍 수송로 35-116,thesomeplus.modoo.at,010-****-**99,진*선
10125,스테이리포소,제주특별자치도,서귀포시,성산읍,성산읍 환해장성로 233-14,stayriposo.modoo.at,064-*****-77,차*훈
10126,영월 천문대캠핑장,강원,영월군,북면,북면 사만길 173,ywobservatory.com/,010-****-**42,전*희
10127,블루보트게스트하우스 남포점,부산,중구,동광동2가,광복로85번길 15-1 (동광동2가),blueboat-hostel.com/Nampodong,010-****-**49,우*영
10128,헤이리풀빌라워라밸성동리,경기,파주시,탄현면,탄현면 샘철길 38-12,pajupoolvilla.com,010-****-**16,이*창
10129,행복누리고펜션,충북,괴산군,청천면,청천면 후평도원로 145,h-nurigo.com/default/index.php,010-****-**59,신*주
10130,장군펜션,경남,통영시,용남면,용남면 동달안길 84,www.janggunps.net,010-****-**77,정*현
10131,이스케이프풀빌라,경북,포항시 남구,구룡포읍,구룡포읍 하정로138번길 40,www.escapepoolvilla.com,010-****-**00,심*룡
10132,자장자장펜션,제주특별자치도,서귀포시,상예동,일주서로 1318-4 (상예동),starguesthouse.modoo.at,064-*****-12,김*영
10133,더담은펜션,충남,태안군,이원면,이원면 음포길 135,www.thedameun.com,010-****-**24,홍*은
10134,해오름관광펜션,경북,울릉군,울릉읍,울릉읍 도동1길 35-10,www.xn--hq1bk3ijzm.xn--3e0b707e,010-****-**37,김*암
10135,끌림인세부,제주특별자치도,제주시,애월읍,애월읍 고내로7길 10-2,cclimcebu.weebly.com,064-*****-10,김*대
10136,산들바람펜션,경남,산청군,산청읍,산청읍 웅석봉로154번길 82,www.sandlbaram.kr,010-****-**11,여*심
10137,포천시냇가펜션,경북,성주군,가천면,가천면 법전1길 47,pocheonvalley.kr,010-****-**82,정*술
10138,시크릿하우스펜션,강원,속초시,설악동,청봉로 215 (설악동),blog.naver.com/suaviss/223391890290,010-****-**97,김*영
10139,면역공방펜션,경기,가평군,가평읍,가평읍 잎너비길 17-156,www.가평면역공방펜션.com,010-****-**16,권*선
10140,천마펜션,경북,울릉군,울릉읍,울릉읍 도동1길 35-3,www.xn--hq1bk3inrhgwfrvs.kr,010-****-**41,신*정
